Location,Name,Instruction,Address/Value,op
 ,Copy,Start,0, 
 ,First,STL,RETADR, 
 , ,LDB,#LENGTH, 
 , ,BASE,LENGTH, 
 ,CLOOP,+JSUB,RDREC, 
 , ,LDA,LENGTH, 
 , ,COMP,#0, 
 , ,JEQ,ENDFIL, 
 , ,+JSUB,WRREC, 
 , ,J,CLOOP, 
 ,ENDFIL,LDA,=C'EOF', 
 ,ENDFIL2,LDA,=C'FOF', 
 , ,STA,BUFFER, 
 , ,LDA,#3, 
 , ,STA,LENGTH, 
 , ,+JSUB,WRREC, 
 , ,J,WRREC, 
 , ,J,@RETADR, 
 , ,LTORG, , 
 ,RETADRR,Byte,X'FFFF', 
 ,RETADR,RESW,1, 
 ,LENGTH,RESW,1, 
 ,BUFFER,RESB,4096, 
 ,BUFFEND,EQU,*, 
 ,MAXLEN,EQU,BUFFEND-BUFFER, 
 ,ENDF,LDA,=C'EOF', 
 ,ENDF2,LDA,=C'FOF', 
 , ,END, , 
